Turbidity;B01;B02;B03;B04;B05;B06;B07;B08;B8A;B09;B10;B11;B12;Cloud
1.2;1163;864;574;310;293;270;266;190;222;71;5;86;56;0.0016
1.3;1331;1048;767;542;485;474;492;393;454;120;5;315;252;0.0028
1.4;1327;1039;657;398;357;321;315;280;270;73;5;161;121;0.0028
2.8;1353;1072;673;411;353;334;331;295;275;83;6;166;123;0.0084
1.6;1313;1050;710;420;381;368;348;320;322;80;5;194;137;0.0022
3.6;1657;1435;1076;476;371;279;232;206;188;78;10;43;18;0.0004
3.3;1676;1420;1088;484;374;266;235;177;156;70;9;33;13;0.0002
3.9;1661;1409;1029;472;350;258;217;190;151;60;9;28;17;0.0001
3.8;1631;1413;1090;498;383;292;262;236;195;80;10;42;24;0.001
3.5;1645;1416;1087;504;374;262;231;192;170;73;11;28;6;0.0002
4.2;1697;1440;1147;539;394;273;246;189;172;72;11;30;16;0.0002
3.8;1727;1499;1236;594;433;289;259;204;176;73;9;43;22;0.0004
4.5;1694;1489;1196;564;405;291;258;203;176;66;9;24;23;0.0001
5;1709;1488;1187;570;412;274;251;203;139;73;10;29;14;0.0001
4.5;1701;1463;1147;539;404;272;243;182;161;62;6;26;10;0.0002
4.8;1711;1482;1160;549;395;269;234;191;167;73;3;26;15;0.0001
4.4;1692;1477;1151;559;405;285;238;180;156;67;10;28;21;0.0001
2.8;1522;1432;1135;774;702;698;705;676;682;170;21;546;433;0.0175
2;1357;1226;928;663;608;596;593;582;561;141;14;462;360;0.016
2.1;1281;1068;794;545;481;470;462;436;426;102;4;316;246;0.0024
2;1325;1086;796;558;511;519;530;464;491;144;9;294;206;0.0089
1.7;1412;1177;855;572;526;518;516;450;503;141;8;309;227;0.0094
2;1344;1094;759;485;438;438;440;393;404;124;8;203;131;0.01
1.6;3338;2774;2577;2798;2792;3082;3172;2862;3218;1858;259;2990;2228;0.9064
1.6;2544;2558;2199;1991;1657;1543;1610;2367;1856;1132;278;1486;1529;0.9831
1.7;2422;2552;2095;2025;2015;2181;2306;2283;2303;544;12;1906;1354;0.7852
1.6;2030;1305;951;746;779;863;925;615;1022;374;12;685;720;0.7638
1.8;1799;1806;1375;1213;1075;1069;1034;1231;938;237;11;801;605;0.4091
4.2;1721;1359;911;451;370;339;325;240;258;96;8;64;46;0.0045
4.8;1744;1432;947;461;372;327;300;242;257;93;12;59;35;0.0028
5.5;1711;1351;876;445;380;331;306;242;244;96;9;66;44;0.0038
5.3;1991;1590;1209;853;860;977;1029;906;1072;515;131;910;906;0.6896
5.5;1828;1477;1032;623;560;556;560;501;525;241;66;403;381;0.1756
4.9;1826;1432;963;535;477;450;437;327;388;178;38;266;245;0.1194
5.4;1829;1505;1130;654;583;589;576;652;530;222;19;398;259;0.3744
6;1765;1462;1041;554;492;459;455;445;369;133;21;228;132;0.1471
5.8;1821;1432;1008;611;540;510;500;432;473;228;51;316;340;0.2406
4.4;1627;1242;777;437;384;353;316;238;250;93;9;76;36;0.0139
4.9;1704;1337;870;436;369;334;288;250;256;95;10;54;39;0.0031
3.3;1536;1402;1196;506;355;217;197;152;131;64;7;32;13;0.0001
1.8;1524;1374;1182;537;378;221;195;161;136;63;8;26;17;0.0001
2;1480;1315;1094;445;320;196;178;138;112;57;5;20;10;0.0001
3.8;1394;1204;969;471;375;321;298;250;275;79;6;163;134;0.0183
5.4;1417;1252;962;422;338;272;276;248;231;72;5;129;97;0.0055
4.2;1440;1258;988;470;364;330;310;278;269;78;6;163;123;0.016
13.8;1455;1278;1155;541;409;312;299;256;238;68;7;113;87;0.0061
10.4;1327;1067;979;541;470;361;361;310;322;85;7;205;152;0.0071
7.8;1445;1287;1131;573;449;380;362;333;330;89;6;215;170;0.0118
4.8;1754;1580;1217;810;748;724;741;714;732;341;33;651;628;0.3502
2.1;1572;1360;988;451;377;336;324;286;277;104;21;132;106;0.0399
2.4;1570;1330;904;591;553;526;532;494;493;202;26;416;372;0.0842
6.1;1552;1380;1219;740;668;651;654;553;635;230;28;504;389;0.0127
0.2;1504;1360;1225;662;556;510;514;454;456;174;78;283;233;0.0179
11.1;1508;1355;1201;614;498;388;389;331;324;98;19;161;126;0.026
6.012;1583;1143;725;479;401;368;369;281;304;95;28;123;94;0.0163
6.4;2924;2397;1963;1780;1666;1693;1795;1556;1866;404;19;1557;1348;0.9098
6.182;1894;1524;1050;703;621;568;580;492;484;117;15;319;264;0.1261
5;1624;1179;750;324;351;185;218;173;200;141;6;63;26;0.005
4.2;1337;980;516;239;198;176;160;122;112;56;4;24;4;0.0001
5;1334;978;534;247;203;166;160;114;104;49;7;7;12;0
5.6;1336;1096;828;340;266;208;196;160;145;67;7;39;21;0.0002
6.4;1445;1234;918;355;274;192;173;147;115;57;6;16;15;0.0001
5.8;1469;1275;992;381;273;211;179;138;126;59;8;15;6;0.0001
12.9;1750;1593;1414;782;585;362;368;315;277;143;45;85;77;0.0035
8.2;3098;2772;2559;2237;2244;2310;2332;2244;2318;1753;956;1507;1286;0.9998
14;2058;1813;1617;1067;971;893;912;799;821;468;187;459;370;0.9947
1.8;1323;1059;819;581;467;457;505;414;461;124;5;250;214;0.0047
2;1377;1172;859;549;511;516;528;415;493;123;4;302;259;0.0074
1.8;1425;1149;815;519;487;487;506;391;475;120;5;291;260;0.0063
2.1;1373;1159;929;569;518;514;526;476;486;118;9;301;231;0.0045
1.9;1394;1155;889;554;512;507;513;476;463;117;7;300;225;0.0058
1.3;1388;1123;786;511;458;442;437;408;384;104;8;262;192;0.0057
4;1475;1183;834;417;376;365;371;293;320;103;20;121;90;0.0072
3.9;1435;1142;774;399;352;338;333;274;281;90;21;96;69;0.003
4;1446;1136;724;418;360;341;337;287;270;113;45;116;79;0.0025
4.5;1378;1048;719;450;400;383;396;309;332;106;24;128;84;0.0024
4.6;1430;1100;763;443;376;354;358;287;311;110;28;111;79;0.0033
5;1376;1054;710;371;314;278;266;208;225;74;9;69;46;0.0025
3.9;1420;1096;675;369;310;288;278;224;232;80;19;67;45;0.0012
5.2;1429;1133;705;369;317;291;263;232;224;75;18;66;38;0.002
4.3;5537;5316;4837;5140;5271;5390;5443;5373;5405;4335;1757;2250;2254;0.9999
4.1;5459;5281;4778;4997;5140;5256;5274;5214;5342;4242;1758;2257;2263;0.9999
3.4;5055;4840;4342;4554;4706;4830;4872;4812;4932;3709;1288;2003;2003;0.9996
3.6;5076;4899;4375;4576;4765;4858;4906;4843;4942;3688;1301;2023;2008;0.9996
3.3;5065;4840;4343;4577;4692;4796;4867;4761;4916;3677;1309;2011;2002;0.9995
1.4;3761;3482;3065;3116;3174;3235;3297;3193;3306;2284;736;1443;1385;0.9973
1.5;3786;3523;3067;3123;3168;3260;3292;3157;3286;2305;759;1446;1417;0.9977
2.3;1301;988;669;342;306;286;231;202;193;89;13;55;35;0.0014
3.2;1333;1056;729;326;266;227;198;160;157;73;13;35;22;0.0006
8.2;1592;1329;1106;612;490;347;343;295;283;156;56;100;88;0.0051
8.2;1593;1345;1110;566;457;347;335;264;244;155;56;96;82;0.0045
9.8;1649;1424;1216;612;510;401;377;335;316;190;83;139;116;0.0132
1.6;1303;979;697;351;293;254;240;192;196;83;9;52;35;0.0013
2.3;1316;985;672;340;284;255;225;188;175;84;9;56;34;0.0015
1.9;1332;998;690;342;288;249;233;204;182;83;9;53;38;0.0014
14.9;1712;1480;1228;717;552;358;340;272;266;85;6;65;58;0.006
13.1;1550;1282;1047;680;526;352;303;255;212;90;7;35;27;0.0025
2.8;1550;1283;937;432;345;281;254;188;189;75;9;36;22;0.0004
0.7;1602;1186;744;400;324;295;274;210;196;70;6;49;25;0.0017
1.4;1759;1443;1028;480;378;287;257;192;167;62;3;20;18;0.0001
6.5;1817;1497;1160;526;399;286;250;199;179;63;9;21;9;0.0001
2.7;1797;1447;1087;494;367;257;246;181;151;69;7;26;14;0.0001
2.5;1781;1441;1071;469;353;260;234;187;164;62;7;26;15;0.0001
16.6;1896;1628;1361;803;635;419;402;336;290;95;14;92;72;0.0093
8.1;3682;2936;2440;2437;2468;2543;2684;2363;2874;1439;23;2783;2743;0.991
12.1;2125;2262;1663;1206;1047;952;903;1324;787;269;20;807;556;0.7827
0.9;1653;1424;1084;520;441;427;423;357;361;84;8;156;109;0.0131
3.8;2280;2174;1924;1787;1656;1686;1797;1643;1814;394;11;1755;1413;0.4824
1.8;1443;1147;892;512;425;367;374;296;312;84;9;153;123;0.0163
0.8;1348;1099;826;369;305;287;284;231;234;74;7;101;84;0.0032
2.4;1348;1090;823;377;309;274;277;227;208;70;7;79;55;0.0034
3.2;1255;982;808;405;335;277;293;231;229;75;7;97;72;0.0025
1.1;1487;1142;700;329;276;236;203;157;145;72;7;22;21;0.0002
0.9;1464;1116;679;322;246;215;181;149;133;70;5;19;9;0.0002
0.9;1456;1131;686;329;276;249;230;201;172;97;9;43;36;0.0057
0.9;1464;1158;700;345;273;235;218;170;156;85;9;39;27;0.0012
0.7;1467;1112;680;338;276;215;207;166;158;79;8;36;10;0.0004
0.8;1461;1131;698;321;259;211;214;170;155;84;9;40;30;0.0014
0.8;1466;1136;703;315;247;228;180;129;128;63;9;18;14;0.0002
0.4;1421;1061;680;365;325;291;279;235;239;88;8;127;97;0.0199
0.3;1424;1060;670;365;339;310;283;243;237;95;7;135;110;0.0354
0.4;2603;2617;2379;2410;2519;2887;2996;2894;3109;1204;28;3149;2306;0.9715
0.4;1566;1171;749;456;416;385;370;321;332;140;13;203;167;0.1345
0.4;1565;1228;760;431;395;348;346;291;288;110;12;165;129;0.1138
0.4;2672;2827;2473;2411;2372;2514;2592;2789;2616;1034;28;2779;2061;0.9535
0.4;3317;2626;2289;2387;2438;2704;2905;2344;3041;1687;98;2780;2509;0.9847
1.5;1910;1499;1198;835;833;893;886;721;880;496;57;741;547;0.6614
2.1;1678;1391;1052;576;519;487;469;391;439;214;43;246;217;0.0659
0.9;5492;5767;5395;5567;5573;5608;5736;6058;5716;3298;197;5668;4453;0.9968
1.6;1608;1195;872;542;506;517;537;475;495;304;82;320;274;0.0986
1;1452;1098;796;515;472;481;469;425;437;230;60;286;249;0.025
1.4;6865;6912;6628;7082;7190;7298;7476;7397;7573;4417;244;5987;4864;0.9981
0.7;1134;830;563;322;288;273;270;204;228;76;4;117;82;0.0035
1.3;1195;928;682;411;342;314;310;243;276;83;6;149;107;0.003
4.1;1282;999;618;301;274;252;244;214;192;60;7;90;66;0.0009
2.4;1358;1259;830;494;379;344;319;371;264;81;7;123;65;0.0156
2.5;1229;924;576;311;261;251;232;201;192;61;5;84;69;0.0011
16.1;1496;1287;1163;614;458;291;276;215;191;67;10;59;38;0.0013
11.3;1634;1440;1352;795;613;363;353;295;262;84;10;89;59;0.0087
10.6;1522;1344;1183;562;420;275;247;205;191;69;8;40;32;0.0009
0.4;2417;2163;1768;1554;1554;1660;1806;1555;1824;386;39;1391;1187;0.5448
0.3;2353;2135;1731;1533;1442;1423;1466;1414;1362;354;126;1155;894;0.5854
0.3;4093;4008;3778;3880;3667;3716;4032;3867;4148;945;56;3803;3156;0.9829
0.3;2946;2850;2421;2210;2172;2374;2592;2612;2581;937;571;1706;1325;0.9997
0.3;3513;3394;3080;3069;3009;3156;3350;3179;3405;1166;491;2745;2131;0.999
0.3;2110;1843;1386;1133;1038;1077;1144;1034;1097;365;183;677;547;0.9894
2.9;2019;1775;1500;1016;913;904;934;899;875;179;19;548;354;0.2811
1.7;2109;1780;1466;1013;918;858;925;830;816;206;20;593;413;0.3202
0.6;2159;1863;1426;1184;1088;1054;1098;1017;1057;252;45;814;544;0.2156
1.4;1379;1111;805;476;448;456;458;416;424;227;78;231;177;0.0285
